Metric	isotype	subsampled	Broad_Metric	Include_Metric
V4_34_AVY_NHS_unmut__IGHG2	IGHG2	NA	V4_34_AVY_NHS_unmut	1
V4_34_AVY_NHS_unmut__IGHG3	IGHG3	NA	V4_34_AVY_NHS_unmut	1
V4_34_AVY_NHS_unmut__IGHM	IGHM	NA	V4_34_AVY_NHS_unmut	1
V4_34_AVY_NHS_unmut__IGHE	IGHE	NA	V4_34_AVY_NHS_unmut	1
V4_34_AVY_NHS_unmut__IGHG4	IGHG4	NA	V4_34_AVY_NHS_unmut	1
V4_34_AVY_NHS_unmut__IGHEP2	IGHEP2	NA	V4_34_AVY_NHS_unmut	0
V4_34_AVY_NHS_unmut__IGHGP	IGHGP	NA	V4_34_AVY_NHS_unmut	0
V4_34_AVY_unmut__IGHA1	IGHA1	NA	V4_34_AVY_unmut	Not as complete and NHS_AVY
V4_34_AVY_unmut__IGHA2	IGHA2	NA	V4_34_AVY_unmut	Not as complete and NHS_AVY
V4_34_AVY_unmut__IGHD	IGHD	NA	V4_34_AVY_unmut	Not as complete and NHS_AVY
V4_34_AVY_unmut__IGHE	IGHE	NA	V4_34_AVY_unmut	Not as complete and NHS_AVY
V4_34_AVY_unmut__IGHEP2	IGHEP2	NA	V4_34_AVY_unmut	Not as complete and NHS_AVY
V4_34_AVY_unmut__IGHG1	IGHG1	NA	V4_34_AVY_unmut	Not as complete and NHS_AVY
V4_34_AVY_unmut__IGHG2	IGHG2	NA	V4_34_AVY_unmut	Not as complete and NHS_AVY
V4_34_AVY_unmut__IGHG3	IGHG3	NA	V4_34_AVY_unmut	Not as complete and NHS_AVY
V4_34_AVY_unmut__IGHG4	IGHG4	NA	V4_34_AVY_unmut	Not as complete and NHS_AVY
V4_34_AVY_unmut__IGHGP	IGHGP	NA	V4_34_AVY_unmut	Not as complete and NHS_AVY
V4_34_AVY_unmut__IGHM	IGHM	NA	V4_34_AVY_unmut	Not as complete and NHS_AVY
V4_34_NHS_unmut__IGHA1	IGHA1	NA	V4_34_NHS_unmut	Not as complete and NHS_AVY
V4_34_NHS_unmut__IGHA2	IGHA2	NA	V4_34_NHS_unmut	Not as complete and NHS_AVY
V4_34_NHS_unmut__IGHD	IGHD	NA	V4_34_NHS_unmut	Not as complete and NHS_AVY
V4_34_NHS_unmut__IGHE	IGHE	NA	V4_34_NHS_unmut	Not as complete and NHS_AVY
V4_34_NHS_unmut__IGHEP2	IGHEP2	NA	V4_34_NHS_unmut	Not as complete and NHS_AVY
V4_34_NHS_unmut__IGHG1	IGHG1	NA	V4_34_NHS_unmut	Not as complete and NHS_AVY
